"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","scenario"
"Int-UMAP","Int-Euclidean",10,0.781743995313415,-0.0977867603983597,0.786605001072332,-0.0893520706593634,0.173,0.00266666666666668,2,"I"
"Int-UMAP","Int-Euclidean",20,0.785387445887446,-0.106485466914038,0.781228590775692,-0.0932139154236324,0.256666666666667,0.003,2,"I"
"Int-UMAP","Int-Euclidean",40,0.789845511482255,-0.11231732776618,0.773200793585264,-0.0954073196488422,0.369083333333333,-0.00816666666666668,2,"I"
"C-PCA","Hausdorff",5,0.945662100456621,0.0444063926940639,0.943077737037675,0.0478896900197685,0.274666666666667,0.0586666666666667,2,"I"
"C-PCA","Hausdorff",10,0.950895723491506,0.0325916813122437,0.942108904067844,0.0422162892166729,0.378666666666667,0.0916666666666667,2,"I"
"C-PCA","Hausdorff",20,0.95847866419295,0.0230414347557204,0.940168708304444,0.0376755154004202,0.516166666666667,0.109333333333333,2,"I"
"C-PCA","Hausdorff",40,0.972105949895616,0.0123990953375087,0.937354010069246,0.0336073354838744,0.683833333333333,0.128666666666667,2,"I"
"V-PCA","Hausdorff",5,0.946421232876712,0.0428926940639269,0.943402318084504,0.0473894890534898,0.274666666666667,0.056,2,"I"
"V-PCA","Hausdorff",10,0.951273579379027,0.0319461042765085,0.942248347864694,0.0420935183731017,0.38,0.0926666666666667,2,"I"
"V-PCA","Hausdorff",20,0.95830612244898,0.0233815708101422,0.940159165075444,0.0378034410256383,0.515166666666667,0.1075,2,"I"
"V-PCA","Hausdorff",40,0.972087334725122,0.0124537230340989,0.937387756792805,0.0336376636251047,0.6835,0.12875,2,"I"
"MR-PCA","Hausdorff",5,0.765037671232877,0.232093607305936,0.775288694211351,0.234753385666593,0.112666666666667,0.0153333333333333,2,"I"
"MR-PCA","Hausdorff",10,0.751052724077329,0.209812536613943,0.764133833130458,0.223780987659666,0.146666666666667,0.022,2,"I"
"MR-PCA","Hausdorff",20,0.729987940630798,0.180508967223253,0.749009547497239,0.21047056600373,0.203833333333333,0.0451666666666667,2,"I"
"MR-PCA","Hausdorff",40,0.704179888656924,0.129729297146834,0.730327608266047,0.191338785956335,0.26625,0.0735,2,"I"
"SPCA","Hausdorff",5,0.945662100456621,0.0444063926940639,0.943077737037675,0.0478896900197685,0.274666666666667,0.0586666666666667,2,"I"
"SPCA","Hausdorff",10,0.950895723491506,0.0325916813122437,0.942108904067844,0.0422162892166729,0.378666666666667,0.0916666666666667,2,"I"
"SPCA","Hausdorff",20,0.95847866419295,0.0230414347557204,0.940168708304444,0.0376755154004202,0.516166666666667,0.109333333333333,2,"I"
"SPCA","Hausdorff",40,0.972105949895616,0.0123990953375087,0.937354010069246,0.0336073354838744,0.683833333333333,0.128666666666667,2,"I"
"IMDS","Hausdorff",5,0.594933789954338,-0.108575342465754,0.596413531182584,-0.123304869946108,0.0326666666666667,-0.004,2,"I"
"IMDS","Hausdorff",10,0.591366725248975,-0.100973637961336,0.59217088821453,-0.116562488534034,0.063,-0.000333333333333335,2,"I"
"IMDS","Hausdorff",20,0.585157390228819,-0.0814947433518862,0.585439759851523,-0.10636628215034,0.106,-0.00566666666666667,2,"I"
"IMDS","Hausdorff",40,0.582914405010438,-0.0481823242867084,0.576730488725326,-0.0931967119718359,0.185166666666667,-0.0214166666666667,2,"I"
"Int-UMAP","Hausdorff",5,0.906173515981735,0.00489497716894982,0.909240757601857,0.00472000065621642,0.240666666666667,-0.00133333333333333,2,"I"
"Int-UMAP","Hausdorff",10,0.902572349150557,-0.00384417106033985,0.903375134310115,0.00110537665706713,0.291333333333333,0.00633333333333333,2,"I"
"Int-UMAP","Hausdorff",20,0.908166666666667,-0.00905689548546684,0.898872917983644,-0.001396110832198,0.366166666666667,0.0155,2,"I"
"Int-UMAP","Hausdorff",40,0.927801496172582,-0.00983959638135001,0.895102592642281,-0.00251084160432954,0.5195,0.0108333333333334,2,"I"
"C-PCA","Ichino-Yaguchi",5,0.929287671232877,0.0729132420091324,0.927740072675969,0.075468661564584,0.266666666666667,0.0353333333333333,2,"I"
