"level","Method","Metric","index","primary","mean_qc_diff","mcse","n_rep"
"L2","C-PCA","Hausdorff","Q_RE",FALSE,0.186917018590371,0.00164325717069172,25
"L2","C-PCA","Hausdorff","Q_LC",FALSE,0.144444244521338,0.00211737324484386,25
"L2","C-PCA","Ichino-Yaguchi","Q_TC",FALSE,0.104614823529412,0.00170141876205556,25
"L2","C-PCA","Ichino-Yaguchi","Q_RE",FALSE,0.0989649860489684,0.00172802921861583,25
"L2","C-PCA","Ichino-Yaguchi","Q_LC",FALSE,0.0829061130334487,0.00192240998171932,25
"L2","C-PCA","Wasserstein","Q_TC",TRUE,0.0839486113828899,0.00153600764575703,25
"L2","C-PCA","Wasserstein","Q_RE",FALSE,0.0816116142476688,0.00151987668920403,25
"L2","C-PCA","Wasserstein","Q_LC",FALSE,0.0740637139561707,0.00166435335957526,25
"L2","C-PCA","CR-Euclidean","Q_TC",FALSE,0.148933466173488,0.00154814192917814,25
"L2","C-PCA","CR-Euclidean","Q_RE",FALSE,0.140563533510735,0.00161895149378046,25
"L2","C-PCA","CR-Euclidean","Q_LC",FALSE,0.109212595155709,0.00176700019434783,25
"L2","V-PCA","Int-Euclidean","Q_TC",FALSE,0.129295624706678,0.00263556184662462,25
"L2","V-PCA","Int-Euclidean","Q_RE",FALSE,0.123756095329517,0.00250166275101321,25
"L2","V-PCA","Int-Euclidean","Q_LC",FALSE,0.103832664359862,0.00233560511640196,25
"L2","V-PCA","Hausdorff","Q_TC",FALSE,0.201803725251561,0.0016682491101891,25
"L2","V-PCA","Hausdorff","Q_RE",FALSE,0.186795198113899,0.00150161773123303,25
"L2","V-PCA","Hausdorff","Q_LC",FALSE,0.14418214532872,0.00206689608555393,25
"L2","V-PCA","Ichino-Yaguchi","Q_TC",FALSE,0.104908507815297,0.00176070908881816,25
"L2","V-PCA","Ichino-Yaguchi","Q_RE",FALSE,0.0987654435679439,0.0016046617674148,25
"L2","V-PCA","Ichino-Yaguchi","Q_LC",FALSE,0.082161199538639,0.00189941052856768,25
"L2","V-PCA","Wasserstein","Q_TC",TRUE,0.0843994124806109,0.00161789401217299,25
"L2","V-PCA","Wasserstein","Q_RE",FALSE,0.0813651278882764,0.00145187036678192,25
"L2","V-PCA","Wasserstein","Q_LC",FALSE,0.0736774625144175,0.001612032659281,25
"L2","V-PCA","CR-Euclidean","Q_TC",FALSE,0.149334606371555,0.00163566009472539,25
"L2","V-PCA","CR-Euclidean","Q_RE",FALSE,0.140305468481387,0.00147176560830664,25
"L2","V-PCA","CR-Euclidean","Q_LC",FALSE,0.108440092272203,0.00182041625298562,25
"L2","MR-PCA","Int-Euclidean","Q_TC",FALSE,-0.0999134965596786,0.00136003967842069,25
"L2","MR-PCA","Int-Euclidean","Q_RE",FALSE,-0.0894206559870489,0.00125917906666054,25
"L2","MR-PCA","Int-Euclidean","Q_LC",FALSE,-0.0523508650519031,0.00152951686772767,25
"L2","MR-PCA","Hausdorff","Q_TC",FALSE,-0.129106019011256,0.00467317913169931,25
"L2","MR-PCA","Hausdorff","Q_RE",FALSE,-0.0999997325939395,0.006130996153797,25
"L2","MR-PCA","Hausdorff","Q_LC",FALSE,-0.058282583621684,0.00256603872415256,25
"L2","MR-PCA","Ichino-Yaguchi","Q_TC",FALSE,-0.0911085334287874,0.00125274744040212,25
"L2","MR-PCA","Ichino-Yaguchi","Q_RE",FALSE,-0.0797708862925025,0.00212432148731881,25
"L2","MR-PCA","Ichino-Yaguchi","Q_LC",FALSE,-0.0506265282583622,0.001625760962183,25
"L2","MR-PCA","Wasserstein","Q_TC",TRUE,-0.0434375422185101,0.000799378671796786,25
"L2","MR-PCA","Wasserstein","Q_RE",FALSE,-0.0380842745637106,0.00113939962359987,25
"L2","MR-PCA","Wasserstein","Q_LC",FALSE,-0.0371904959630911,0.00154546244349203,25
"L2","MR-PCA","CR-Euclidean","Q_TC",FALSE,-0.111595604820427,0.00179723043172286,25
"L2","MR-PCA","CR-Euclidean","Q_RE",FALSE,-0.094285824509024,0.00313047504846398,25
"L2","MR-PCA","CR-Euclidean","Q_LC",FALSE,-0.0556064129181084,0.00169316410354875,25
"L2","SPCA","Int-Euclidean","Q_TC",FALSE,0.128864754563895,0.00260391311647627,25
"L2","SPCA","Int-Euclidean","Q_RE",FALSE,0.124050041922776,0.00252002274131285,25
"L2","SPCA","Int-Euclidean","Q_LC",FALSE,0.103501591695502,0.00241828179015142,25
"L2","SPCA","Hausdorff","Q_TC",FALSE,0.201493630036193,0.00154939204390689,25
"L2","SPCA","Hausdorff","Q_RE",FALSE,0.186917018590371,0.00164325717069172,25
"L2","SPCA","Hausdorff","Q_LC",FALSE,0.144444244521338,0.00211737324484386,25
"L2","SPCA","Ichino-Yaguchi","Q_TC",FALSE,0.104614823529412,0.00170141876205556,25
"L2","SPCA","Ichino-Yaguchi","Q_RE",FALSE,0.0989649860489684,0.00172802921861583,25
"L2","SPCA","Ichino-Yaguchi","Q_LC",FALSE,0.0829061130334487,0.00192240998171932,25
"L2","SPCA","Wasserstein","Q_TC",TRUE,0.0839486113828899,0.00153600764575703,25
"L2","SPCA","Wasserstein","Q_RE",FALSE,0.0816116142476688,0.00151987668920403,25
"L2","SPCA","Wasserstein","Q_LC",FALSE,0.0740637139561707,0.00166435335957526,25
"L2","SPCA","CR-Euclidean","Q_TC",FALSE,0.148933466173488,0.00154814192917814,25
"L2","SPCA","CR-Euclidean","Q_RE",FALSE,0.140563533510735,0.00161895149378046,25
"L2","SPCA","CR-Euclidean","Q_LC",FALSE,0.109212595155709,0.00176700019434783,25
"L2","IMDS","Int-Euclidean","Q_TC",FALSE,-0.0477695519230005,0.0115001792017054,25
"L2","IMDS","Int-Euclidean","Q_RE",FALSE,-0.0519224093734007,0.0109172299124216,25
"L2","IMDS","Int-Euclidean","Q_LC",FALSE,-0.00244166089965398,0.001084354234547,25
"L2","IMDS","Hausdorff","Q_TC",FALSE,0.134935201142266,0.00338528147441812,25
"L2","IMDS","Hausdorff","Q_RE",FALSE,0.155512770643684,0.00302920365201987,25
"L2","IMDS","Hausdorff","Q_LC",FALSE,0.0232164705882353,0.0011338254175406,25
"L2","IMDS","Ichino-Yaguchi","Q_TC",FALSE,0.0765014267191664,0.00254531277778108,25
"L2","IMDS","Ichino-Yaguchi","Q_RE",FALSE,0.0860225921492351,0.00247428303147711,25
"L2","IMDS","Ichino-Yaguchi","Q_LC",FALSE,0.0139188465974625,0.00105994222028166,25
"L2","IMDS","Wasserstein","Q_TC",TRUE,0.0511490617666945,0.00194263218679352,25
"L2","IMDS","Wasserstein","Q_RE",FALSE,0.057949531139718,0.00193366822729573,25
"L2","IMDS","Wasserstein","Q_LC",FALSE,0.0125393771626298,0.000915443674995869,25
"L2","IMDS","CR-Euclidean","Q_TC",FALSE,0.100371575547866,0.00305890889131258,25
"L2","IMDS","CR-Euclidean","Q_RE",FALSE,0.117385875322263,0.00263071661645889,25
"L2","IMDS","CR-Euclidean","Q_LC",FALSE,0.0177261822376009,0.00126681067800779,25
"L2","Int-UMAP","Int-Euclidean","Q_TC",FALSE,0.174271275345026,0.00773930139343727,25
"L2","Int-UMAP","Int-Euclidean","Q_RE",FALSE,0.167721433272423,0.00789761383734952,25
"L2","Int-UMAP","Int-Euclidean","Q_LC",FALSE,0.0332038292964245,0.00358858308474134,25
"L2","Int-UMAP","Hausdorff","Q_TC",FALSE,0.312592245316788,0.0049905905320332,25
"L2","Int-UMAP","Hausdorff","Q_RE",FALSE,0.320979920577997,0.00467960289923219,25
"L2","Int-UMAP","Hausdorff","Q_LC",FALSE,0.132360092272203,0.00244839633191662,25
"L2","Int-UMAP","Ichino-Yaguchi","Q_TC",FALSE,0.206332190430736,0.00423244938620327,25
"L2","Int-UMAP","Ichino-Yaguchi","Q_RE",FALSE,0.232040936066136,0.00416023093708492,25
"L2","Int-UMAP","Ichino-Yaguchi","Q_LC",FALSE,0.113847612456747,0.0021010810921073,25
"L2","Int-UMAP","Wasserstein","Q_TC",TRUE,0.170466936483315,0.0034724564050259,25
"L2","Int-UMAP","Wasserstein","Q_RE",FALSE,0.196452717329419,0.00355918734399435,25
"L2","Int-UMAP","Wasserstein","Q_LC",FALSE,0.0934314648212226,0.00194607482215978,25
"L2","Int-UMAP","CR-Euclidean","Q_TC",FALSE,0.250776507497116,0.0046292475756153,25
"L2","Int-UMAP","CR-Euclidean","Q_RE",FALSE,0.273119206733568,0.00441104503439147,25
"L2","Int-UMAP","CR-Euclidean","Q_LC",FALSE,0.121862329873126,0.00234939480171014,25
