"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","rep","dr_input","eval_geom"
"V-PCA","Ichino-Yaguchi",0.919043499043977,0.117508604206501,0.91849538956249,0.1294852535006,0.360375,0.091875,FALSE,0,4,"raw","std"
"V-PCA","Wasserstein",0.919050669216061,0.117531230082855,0.918398913444566,0.12967039710286,0.3605,0.091625,FALSE,0,4,"raw","std"
"V-PCA","Centers-Euclidean",0.919041268323773,0.117505417463353,0.918413214665475,0.129626444377571,0.360375,0.09175,FALSE,0,4,"raw","std"
"MR-PCA","Int-Euclidean",0.914523820905035,0.125184990439771,0.916448934952534,0.132966363593249,0.34875,0.10625,FALSE,0,4,"raw","std"
"MR-PCA","Hausdorff",0.913307998725303,0.125742511153601,0.915707608745533,0.132508906422809,0.3425,0.089125,FALSE,0,4,"raw","std"
"MR-PCA","Ichino-Yaguchi",0.914179572976418,0.124325366475462,0.915830919071354,0.1326463686975,0.34375,0.09575,FALSE,0,4,"raw","std"
"MR-PCA","Wasserstein",0.914163081580625,0.124458731676227,0.915631501330398,0.133149593527974,0.344375,0.094125,FALSE,0,4,"raw","std"
"MR-PCA","Centers-Euclidean",0.914080226258764,0.124574410452518,0.915748357346513,0.132929973629175,0.344125,0.092875,FALSE,0,4,"raw","std"
"SPCA","Int-Euclidean",0.914876752708732,0.124107871255577,0.917531080144413,0.130411085385141,0.3455,0.09675,FALSE,0,4,"raw","std"
"SPCA","Hausdorff",0.914376115360102,0.123293021032505,0.917091455544825,0.129599566027799,0.343125,0.087,FALSE,0,4,"raw","std"
"SPCA","Ichino-Yaguchi",0.914464228808158,0.123902644996813,0.917053861488514,0.13038035496379,0.343875,0.0875,FALSE,0,4,"raw","std"
"SPCA","Wasserstein",0.914497848948375,0.123872689611217,0.91710078835255,0.130287210064654,0.34425,0.087,FALSE,0,4,"raw","std"
"SPCA","Centers-Euclidean",0.91446104206501,0.123895952836201,0.917123650005007,0.13021879868934,0.343875,0.08675,FALSE,0,4,"raw","std"
"IMDS","Int-Euclidean",0.588379222434672,-0.0780857233906946,0.595512478630641,-0.0929817942703762,0.0405,0.000249999999999997,TRUE,0,4,"raw","std"
"IMDS","Hausdorff",0.635786567877629,-0.0354147546207776,0.64327834396662,-0.0461865487212846,0.05275,-0.00125,TRUE,0,4,"raw","std"
