"Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","replication","max_abs_mean_delta"
"Int-UMAP","Ichino-Yaguchi",0.837632630345636,0.0286481312243702,0.860247786015107,0.0333137665123338,0.329666666666667,0.01168,0.837632794376098,0.0286484592852958,0.860249985991372,0.0333136860989741,0.329666666666667,0.0116066666666667,1,7.33333333333332e-05
"Int-UMAP","Int-Euclidean",0.82126309314587,0.0382191212653779,0.83604704479368,0.0481079076667952,0.308333333333333,0.0170466666666667,0.821263046280023,0.0382191212653779,0.83604720706348,0.0481075910487864,0.308333333333333,0.017,1,4.66666666666671e-05
"Int-UMAP","Wasserstein",0.835326326889279,0.031209841827768,0.85683498430957,0.0345351868935128,0.319,0.00382,0.835326561218512,0.0312102167545401,0.856836935415852,0.0345353744939815,0.319,0.00378666666666667,1,3.33333333333349e-05
"MR-PCA","Centers-Euclidean",0.887152114821324,0.090701230228471,0.885670238997163,0.100139908622299,0.278,0.06182,0.887152056239016,0.0907011599297012,0.885670310230075,0.100140626355287,0.278,0.0618466666666667,1,2.66666666666679e-05
"MR-PCA","Hausdorff",0.891659437609842,0.0806781253661395,0.892912890792732,0.0840697748164947,0.29,0.0475333333333333,0.89165949619215,0.0806781019332162,0.892912891591032,0.0840694701729839,0.29,0.0474466666666667,1,8.66666666666724e-05
"MR-PCA","Ichino-Yaguchi",0.887349619214997,0.0901562507322789,0.887775770708628,0.0963964189496124,0.278666666666667,0.0575266666666667,0.887349455184534,0.0901562507322789,0.887775738454243,0.0963971115975623,0.278666666666667,0.0575333333333333,1,6.66666666666871e-06
"MR-PCA","Int-Euclidean",0.887054575278266,0.091100316344464,0.884503037392826,0.101613598669787,0.270666666666667,0.0533333333333333,0.887054610427651,0.0911001054481546,0.884503120462068,0.101613877000106,0.270666666666667,0.0533333333333333,1,2.7833031898683e-07
"MR-PCA","Wasserstein",0.887293907439953,0.0906872642062097,0.8866669962724,0.0986559948098227,0.280333333333333,0.05754,0.88729381370826,0.0906872173403632,0.886667243607192,0.0986565986622644,0.280333333333333,0.0575466666666667,1,6.66666666666871e-06
"SPCA","Centers-Euclidean",0.887151974223784,0.090701323960164,0.885669938222337,0.100141106256322,0.278,0.0618466666666667,0.887151892208553,0.0907015348564733,0.885669556742464,0.10014123677835,0.278,0.0618333333333333,1,1.33333333333305e-05
"SPCA","Hausdorff",0.906941745752783,0.0714698535442296,0.908390753338697,0.0760718885917269,0.32,0.0521466666666667,0.906941558289397,0.0714700410076157,0.908390413001971,0.0760713803510462,0.32,0.0522066666666667,1,5.99999999999976e-05
