"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"SPCA","Int-Euclidean",0.001,0.008,0.001,0.001,0.001,0.001,10,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,10,"minP"
"IMDS","Int-Euclidean",0.007,0.394,0.006,0.006,0.001,0.94,10,"minP"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.998,10,"minP"
