"scenario","rep","Method","Metric","cell_index","Q_TC_u50","B_TC_u50","Q_RE_u50","B_RE_u50","Q_LC_u50","B_LC_u50","Q_TC_u500","B_TC_u500","Q_RE_u500","B_RE_u500","Q_LC_u500","B_LC_u500","Q_TC_pri","B_TC_pri","Q_RE_pri","B_RE_pri","Q_LC_pri","B_LC_pri","d50_500","d50_pri","equivariant"
"S2",2,"IMDS","Hausdorff",33,0.609709528362014,-0.0154305289993627,0.620012085064249,-0.0352434285757179,0.05225,-0.0065,NA,NA,NA,NA,NA,NA,0.609709528362014,-0.0154305289993627,0.620012085064249,-0.0352434285757179,0.05225,-0.0065,NA,0,TRUE
"S2",2,"IMDS","Ichino-Yaguchi",34,0.613502825047801,-0.00922666347992346,0.623221641362071,-0.0219959911074808,0.05375,-0.00425,NA,NA,NA,NA,NA,NA,0.613502788400255,-0.00922673677501584,0.623221610462759,-0.0219960529061048,0.05375,-0.00425,NA,7.32950923842957e-08,TRUE
"S2",2,"IMDS","Int-Euclidean",35,0.570651688973869,-0.0426698534098151,0.572425357476678,-0.04496589325838,0.039,0.000749999999999997,NA,NA,NA,NA,NA,NA,0.570651688973869,-0.0426698534098151,0.572425357476678,-0.04496589325838,0.039,0.000749999999999997,NA,0,TRUE
"S2",2,"IMDS","Wasserstein",36,0.605968769917145,-0.026004142766093,0.61403942089017,-0.0422737332305659,0.053875,-0.00525,NA,NA,NA,NA,NA,NA,0.605968769917145,-0.026004142766093,0.61403942089017,-0.0422737332305659,0.053875,-0.00525,NA,0,TRUE
"S2",3,"IMDS","Centers-Euclidean",37,0.621075207138305,-0.07538304652645,0.631764895025078,-0.0895282852174109,0.0565,-0.005625,NA,NA,NA,NA,NA,NA,0.621075207138305,-0.07538304652645,0.631764895025078,-0.0895282852174109,0.0565,-0.005625,NA,0,TRUE
"S2",3,"IMDS","Hausdorff",38,0.62319888623327,-0.0308297609942638,0.635870222463105,-0.047753016190813,0.052375,-0.0045,NA,NA,NA,NA,NA,NA,0.623198932441045,-0.0308296685787125,0.635870239778661,-0.0477529815597,0.052375,-0.0045,NA,9.24155513330749e-08,TRUE
"S2",3,"IMDS","Ichino-Yaguchi",39,0.636735420650096,-0.0291951880178457,0.645497795166691,-0.0383035104859769,0.053875,-0.000875000000000001,NA,NA,NA,NA,NA,NA,0.636735420650096,-0.0291951880178457,0.645497795166691,-0.0383035104859769,0.053875,-0.000875000000000001,NA,0,TRUE
"S2",3,"IMDS","Int-Euclidean",40,0.59060460484385,-0.072119980879541,0.597188396112035,-0.0847253701562716,0.042875,-0.000875000000000001,NA,NA,NA,NA,NA,NA,0.59060460484385,-0.072119980879541,0.597188396112035,-0.0847253701562716,0.042875,-0.000875000000000001,NA,0,TRUE
"S2",3,"IMDS","Wasserstein",41,0.627933397068196,-0.0531096239643085,0.637078042385923,-0.062133496415168,0.0535,-0.003125,NA,NA,NA,NA,NA,NA,0.627933397068196,-0.0531096239643085,0.637078042385923,-0.062133496415168,0.0535,-0.003125,NA,0,TRUE
"S2",4,"IMDS","Centers-Euclidean",42,0.616686982154238,-0.0707637029955385,0.6219963971914,-0.0848144405684894,0.050375,-0.004625,NA,NA,NA,NA,NA,NA,0.616686982154238,-0.0707637029955385,0.6219963971914,-0.0848144405684894,0.050375,-0.004625,NA,0,TRUE
"S2",4,"IMDS","Hausdorff",43,0.635786567877629,-0.0354147546207776,0.64327834396662,-0.0461865487212846,0.05275,-0.00125,NA,NA,NA,NA,NA,NA,0.635786567877629,-0.0354147546207776,0.64327834396662,-0.0461865487212846,0.05275,-0.00125,NA,0,TRUE
"S2",4,"IMDS","Ichino-Yaguchi",44,0.637345044614404,-0.0307184512428298,0.644963895358766,-0.0411759305746837,0.05375,-0.001375,NA,NA,NA,NA,NA,NA,0.637345044614404,-0.0307184512428298,0.644963895358766,-0.0411759305746837,0.05375,-0.001375,NA,0,TRUE
"S2",4,"IMDS","Int-Euclidean",45,0.58837904875717,-0.0780860707456979,0.595512220688559,-0.0929823101545418,0.0405,0.000249999999999997,NA,NA,NA,NA,NA,NA,0.588378903760357,-0.0780863607393244,0.59551200842372,-0.0929827346842197,0.0405,0.000249999999999997,NA,4.24529677939267e-07,TRUE
"S2",4,"IMDS","Wasserstein",46,0.628648103887827,-0.0539083811344806,0.635208631770788,-0.0669835758961312,0.05325,-0.00125,NA,NA,NA,NA,NA,NA,0.628648103887827,-0.0539083811344806,0.635208631770788,-0.0669835758961312,0.05325,-0.00125,NA,0,TRUE
"S2",5,"IMDS","Centers-Euclidean",47,0.593061504142766,-0.0578355640535373,0.597982753449847,-0.0634584488912159,0.047875,-0.000874999999999997,NA,NA,NA,NA,NA,NA,0.593061504142766,-0.0578355640535373,0.597982753449847,-0.0634584488912159,0.047875,-0.000874999999999997,NA,0,TRUE
"S2",5,"IMDS","Hausdorff",48,0.602681207775653,-0.00959073932441046,0.609717444216186,-0.0205156611531547,0.052,-0.002875,NA,NA,NA,NA,NA,NA,0.602681246016571,-0.00959066284257493,0.609717487206533,-0.0205155751724604,0.052,-0.002875,NA,8.59806942726804e-08,TRUE
"S2",5,"IMDS","Ichino-Yaguchi",49,0.605178696622052,-0.00756453154875714,0.611884713024932,-0.0140787407444938,0.0515,0,NA,NA,NA,NA,NA,NA,0.605178696622052,-0.00756453154875714,0.611884713024932,-0.0140787407444938,0.0515,0,NA,0,TRUE
"S2",5,"IMDS","Int-Euclidean",50,0.57203868387508,-0.0646925493945189,0.579285945453268,-0.0779010910250656,0.03975,-0.00225,NA,NA,NA,NA,NA,NA,0.572038718929254,-0.0646924792861696,0.579285958589207,-0.0779010647531868,0.03975,-0.00225,NA,7.01083492371524e-08,TRUE
"S2",5,"IMDS","Wasserstein",51,0.597501752708732,-0.0289840662842575,0.603775595996336,-0.0371920780134912,0.052125,-0.001125,NA,NA,NA,NA,NA,NA,0.597501752708732,-0.0289840662842575,0.603775595996336,-0.0371920780134912,0.052125,-0.001125,NA,0,TRUE
"S2",6,"IMDS","Centers-Euclidean",52,0.59933540471638,-0.0584056724028044,0.611926958184722,-0.0818827381558608,0.055875,-0.002,NA,NA,NA,NA,NA,NA,0.59933540471638,-0.0584056724028044,0.611926958184722,-0.0818827381558608,0.055875,-0.002,NA,0,TRUE
"S2",6,"IMDS","Hausdorff",53,0.596072100063735,-0.00128537284894836,0.607399753910117,-0.0235759172425583,0.053,-0.00275,NA,NA,NA,NA,NA,NA,0.596072100063735,-0.00128537284894836,0.607399753910117,-0.0235759172425583,0.053,-0.00275,NA,0,TRUE
"S2",6,"IMDS","Ichino-Yaguchi",54,0.610354445506692,0.00817543021032496,0.619975811638988,-0.0109816877754389,0.054875,-0.002875,NA,NA,NA,NA,NA,NA,0.610354445506692,0.00817543021032496,0.619975811638988,-0.0109816877754389,0.054875,-0.002875,NA,0,TRUE
"S2",6,"IMDS","Int-Euclidean",55,0.563188932441045,-0.0478034608030593,0.568112017000465,-0.0549466639490626,0.039625,5e-04,NA,NA,NA,NA,NA,NA,0.563188973868706,-0.0478033779477375,0.568112032524757,-0.0549466329004786,0.039625,5e-04,NA,8.28553218257255e-08,TRUE
"S2",6,"IMDS","Wasserstein",56,0.59821845124283,-0.0146647546207775,0.609757899092443,-0.0349760960022218,0.055375,-0.00375,NA,NA,NA,NA,NA,NA,0.59821845124283,-0.0146647546207775,0.609757899092443,-0.0349760960022218,0.055375,-0.00375,NA,0,TRUE
"S2",7,"IMDS","Centers-Euclidean",57,0.618943594646272,-0.0674034416826004,0.628328136640553,-0.0840627846297909,0.0575,-0.002875,NA,NA,NA,NA,NA,NA,0.618943594646272,-0.0674034416826004,0.628328136640553,-0.0840627846297909,0.0575,-0.002875,NA,0,TRUE
"S2",7,"IMDS","Hausdorff",58,0.620296163161249,-0.0234666284257489,0.632032454747968,-0.0400485715433586,0.05275,-0.001,NA,NA,NA,NA,NA,NA,0.620296128107075,-0.0234666985340981,0.632032437858903,-0.0400486053214885,0.05275,-0.001,NA,7.01083492371524e-08,TRUE
"S2",7,"IMDS","Ichino-Yaguchi",59,0.630765137029955,-0.0175162523900574,0.643365270299249,-0.0340465875473683,0.05425,-0.0015,NA,NA,NA,NA,NA,NA,0.630765137029955,-0.0175162523900574,0.643365270299249,-0.0340465875473683,0.05425,-0.0015,NA,0,TRUE
