"scenario","Metric","index","K","tau.mean","tau.q025","tau.q975"
"II","Wasserstein","Q_RE",5,0.877333333333333,0.413333333333333,1
"III","Wasserstein","Q_RE",5,0.977142857142857,0.714285714285714,1
"IV","Wasserstein","Q_RE",5,0.984,0.813333333333333,1
"I","Centers-Euclidean","Q_TC",5,0.76,0.5,1
"II","Centers-Euclidean","Q_TC",5,0.557333333333333,0.0133333333333333,1
"III","Centers-Euclidean","Q_TC",5,0.74,0.433333333333333,1
"IV","Centers-Euclidean","Q_TC",5,0.484725769222127,0.2,0.906436713231718
"I","Hausdorff","Q_TC",5,0.84,0.714285714285714,1
"II","Hausdorff","Q_TC",5,0.52,0.0666666666666667,0.92
"III","Hausdorff","Q_TC",5,0.885714285714286,0.714285714285714,1
"IV","Hausdorff","Q_TC",5,0.786666666666667,0.6,1
"I","Ichino-Yaguchi","Q_TC",5,0.908571428571428,0.714285714285714,1
"II","Ichino-Yaguchi","Q_TC",5,0.571228240090883,0.0666666666666667,1
"III","Ichino-Yaguchi","Q_TC",5,0.897142857142857,0.714285714285714,1
"IV","Ichino-Yaguchi","Q_TC",5,0.806082097898955,0.580820978989553,1
"I","Int-Euclidean","Q_TC",5,0.874285714285714,0.714285714285714,1
"II","Int-Euclidean","Q_TC",5,0.580164195797911,0.146666666666667,1
"III","Int-Euclidean","Q_TC",5,0.874285714285714,0.571428571428571,1
"IV","Int-Euclidean","Q_TC",5,0.799205244747388,0.6,1
"I","Wasserstein","Q_TC",5,0.885714285714286,0.714285714285714,1
"II","Wasserstein","Q_TC",5,0.530666666666667,0.0666666666666667,1
"III","Wasserstein","Q_TC",5,0.92,0.714285714285714,1
"IV","Wasserstein","Q_TC",5,0.843602622373694,0.6,1
"I","Centers-Euclidean","B_LC",20,0.807974349484711,0.333333333333333,1
"II","Centers-Euclidean","B_LC",20,0.78774382282811,0.36,1
"III","Centers-Euclidean","B_LC",20,0.794245783279675,0.333333333333333,1
"IV","Centers-Euclidean","B_LC",20,0.841103436554009,0.52952380952381,1
"I","Hausdorff","B_LC",20,0.859449734240225,0.657142857142857,1
"II","Hausdorff","B_LC",20,0.770561545096405,0.28,1
"III","Hausdorff","B_LC",20,0.690160615325306,0.142857142857143,1
"IV","Hausdorff","B_LC",20,0.710456480181766,0.2,1
"I","Ichino-Yaguchi","B_LC",20,0.856922750838947,0.657142857142857,1
"II","Ichino-Yaguchi","B_LC",20,0.803129688618762,0.41123146848433,1
"III","Ichino-Yaguchi","B_LC",20,0.689751230848585,0.228571428571429,1
"IV","Ichino-Yaguchi","B_LC",20,0.717333333333333,0.333333333333333,1
"I","Int-Euclidean","B_LC",20,0.864149197028708,0.657142857142857,1
"II","Int-Euclidean","B_LC",20,0.837563173457034,0.496847202726495,1
"III","Int-Euclidean","B_LC",20,0.369973535894949,-0.914285714285714,1
"IV","Int-Euclidean","B_LC",20,0.789287342646344,0.333333333333333,1
"I","Wasserstein","B_LC",20,0.89831335327426,0.571428571428571,1
"II","Wasserstein","B_LC",20,0.810311938022656,0.433333333333333,1
"III","Wasserstein","B_LC",20,0.769542118256942,0.314285714285714,1
"IV","Wasserstein","B_LC",20,0.754646956372243,0.245615734242165,1
"I","Centers-Euclidean","B_RE",20,0.94,0.5,1
"II","Centers-Euclidean","B_RE",20,0.925333333333333,0.733333333333333,1
"III","Centers-Euclidean","B_RE",20,0.926666666666667,0.5,1
"IV","Centers-Euclidean","B_RE",20,0.968,0.76,1
"I","Hausdorff","B_RE",20,0.988571428571428,0.885714285714286,1
"II","Hausdorff","B_RE",20,0.909333333333333,0.68,1
"III","Hausdorff","B_RE",20,1,1,1
"IV","Hausdorff","B_RE",20,0.936,0.546666666666667,1
"I","Ichino-Yaguchi","B_RE",20,0.965714285714286,0.714285714285714,1
"II","Ichino-Yaguchi","B_RE",20,0.941333333333333,0.733333333333333,1
"III","Ichino-Yaguchi","B_RE",20,0.948571428571429,0.714285714285714,1
"IV","Ichino-Yaguchi","B_RE",20,0.850666666666667,0.493333333333333,1
"I","Int-Euclidean","B_RE",20,0.937142857142857,0.714285714285714,1
"II","Int-Euclidean","B_RE",20,0.952,0.733333333333333,1
"III","Int-Euclidean","B_RE",20,0.88,0.371428571428571,1
"IV","Int-Euclidean","B_RE",20,0.962666666666667,0.76,1
"I","Wasserstein","B_RE",20,0.988571428571428,0.885714285714286,1
"II","Wasserstein","B_RE",20,0.957333333333333,0.733333333333333,1
"III","Wasserstein","B_RE",20,0.977142857142857,0.8,1
"IV","Wasserstein","B_RE",20,0.941333333333333,0.626666666666667,1
"I","Centers-Euclidean","B_TC",20,0.76,0.5,1
"II","Centers-Euclidean","B_TC",20,0.717333333333333,0.28,1
"III","Centers-Euclidean","B_TC",20,0.766666666666667,0.433333333333333,1
"IV","Centers-Euclidean","B_TC",20,0.542784871777588,0.04,1
"I","Hausdorff","B_TC",20,0.837032803990902,0.714285714285714,1
"II","Hausdorff","B_TC",20,0.706666666666667,0.333333333333333,1
"III","Hausdorff","B_TC",20,0.822857142857143,0.514285714285714,1
"IV","Hausdorff","B_TC",20,0.758269289040361,0.333333333333333,1
