"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","Q_TC_spread","B_TC_spread","Q_RE_spread","B_RE_spread","Q_LC_spread","B_LC_spread","rep"
"V-PCA","Hausdorff",5,0.921591598173516,0.0639374429223744,0.919566491128774,0.0715587190655478,0.274,0.047,7.99086757985457e-06,1.59817351598202e-05,9.43311103995814e-06,1.36164907186265e-05,0,0.000666666666666677,18
"V-PCA","Ichino-Yaguchi",10,0.902679214997071,0.0706642062097247,0.900867029002695,0.0785254199709757,0.28614,0.0558133333333333,3.57352079671802e-05,6.44405389571556e-05,2.82782375934376e-05,6.95365239843926e-05,0.000333333333333352,0.00100000000000001,18
"V-PCA","Ichino-Yaguchi",20,0.902197118119975,0.0585180952380952,0.894740873050348,0.0728518364862899,0.387773333333333,0.0739866666666667,6.02968460112763e-05,0.000113790970933891,3.32899854929014e-05,6.6746917659774e-05,5e-04,0.000833333333333325,18
"V-PCA","Ichino-Yaguchi",40,0.909113288100209,0.0481624147529576,0.887779569746974,0.0682902729721065,0.527136666666667,0.09095,0.00010908141962418,0.000211203897007683,3.0366961688344e-05,5.66726692710212e-05,0.000333333333333297,0.000749999999999973,18
"V-PCA","Ichino-Yaguchi",5,0.908183310502283,0.0783964840182649,0.906492073725915,0.0830606294756011,0.228,0.03468,2.51141552510825e-05,4.56621004566449e-05,4.08904856821213e-05,7.70234023180494e-05,0,0.00133333333333333,18
"V-PCA","Int-Euclidean",10,0.918725647334505,0.0427764264792033,0.909137901220524,0.0601818941291646,0.316,0.05088,3.51493848871343e-06,7.02987697720481e-06,1.0605874289582e-05,1.15093348120252e-05,0,0.000333333333333338,18
"V-PCA","Int-Euclidean",20,0.918989560915275,0.0339241558441558,0.904775770236251,0.0540480510869456,0.4245,0.0612733333333333,1.54607297464526e-06,3.09214594929053e-06,8.98822807549049e-06,1.02352928311594e-05,0,0.000166666666666704,18
"V-PCA","Int-Euclidean",40,0.920523326374391,0.0316893806541406,0.897506524183943,0.05089325818599,0.552916666666667,0.06693,6.95894224023164e-07,2.08768267218051e-06,7.64078065884632e-06,8.52857892821857e-06,0,0.000166666666666732,18
"V-PCA","Int-Euclidean",5,0.917517214611872,0.0563927853881279,0.910855952293066,0.0687319503572278,0.242666666666667,0.03776,4.5662100457422e-06,9.13242009137338e-06,1.44777747701497e-05,1.4600815348903e-05,0,0.000666666666666677,18
"V-PCA","Wasserstein",10,0.902339402460457,0.0713293966022261,0.898978604258653,0.0822587582476274,0.289,0.0586733333333333,3.51493848871343e-06,7.02987697720481e-06,7.59920065629416e-06,1.66169187681836e-05,0,0.000666666666666663,18
