"Method","lambda","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","n_res"
"Int-UMAP",0.3,0.662984650054491,0.316635203280566,0.639527024363568,0.350344315306001,0.0716279069767442,0.0243410852713178,FALSE,0,0
"C-PCA",0.35,0.997866893252304,0.0011807082032621,0.997389898398922,0.000812623800981347,0.818914728682171,0.0403100775193799,FALSE,0,0
"V-PCA",0.35,0.997777121007813,0.0014513795247858,0.997354100538656,0.000896636487858309,0.798139534883721,0.0651162790697674,FALSE,0,0
"MR-PCA",0.35,0.913198982827518,-0.015805333382591,0.903745692392393,-0.0244996203942389,0.170697674418605,-0.0341085271317829,FALSE,0,0
"SPCA",0.35,0.997866893252304,0.0011807082032621,0.997389898398922,0.000812623800981347,0.818914728682171,0.0403100775193799,FALSE,0,0
"IMDS",0.35,0.496902919137251,-0.0193462265486944,0.505832794847979,-0.0163733123861766,0.0155038759689922,0.000465116279069768,TRUE,0,50
"Int-UMAP",0.35,0.670213470762448,0.302376563163825,0.649257492918995,0.33093459456638,0.0716279069767442,0.0243410852713178,FALSE,0,0
"C-PCA",0.4,0.997910486358683,0.00109302941303235,0.997412603136052,0.00076565596195279,0.81906976744186,0.0398449612403101,FALSE,0,0
"V-PCA",0.4,0.997843249533591,0.00134769196667706,0.997388812111545,0.00084089159142159,0.79906976744186,0.0646511627906977,FALSE,0,0
"MR-PCA",0.4,0.915076441866622,-0.0167372899618868,0.905312505916372,-0.0247934612118523,0.175813953488372,-0.0337984496124031,FALSE,0,0
"SPCA",0.4,0.997910486358683,0.00109302941303235,0.997412603136052,0.00076565596195279,0.81906976744186,0.0398449612403101,FALSE,0,0
"IMDS",0.4,0.496007290146603,-0.0183514663415656,0.505346209580205,-0.0155278002530762,0.015968992248062,0.0013953488372093,TRUE,0,50
"Int-UMAP",0.4,0.676695174587928,0.289046185295331,0.658206208544297,0.312998860142602,0.0716279069767442,0.0243410852713178,FALSE,0,0
"C-PCA",0.45,0.997947429669173,0.00102850176404312,0.997428112020347,0.000733259260726411,0.81906976744186,0.0393798449612403,FALSE,0,0
"V-PCA",0.45,0.997886226918127,0.00126666297233569,0.997411330022364,0.000801499008882308,0.79937984496124,0.0641860465116279,FALSE,0,0
"MR-PCA",0.45,0.91659074816361,-0.0169040274365653,0.90703689913647,-0.0254113725602665,0.177519379844961,-0.0331782945736434,FALSE,0,0
"SPCA",0.45,0.997947429669173,0.00102850176404312,0.997428112020347,0.000733259260726411,0.81906976744186,0.0393798449612403,FALSE,0,0
"IMDS",0.45,0.4953033969374,-0.0167899957515193,0.505153622051002,-0.0140145675951678,0.0155038759689922,0.000310077519379844,TRUE,0,50
"Int-UMAP",0.45,0.682793776283626,0.276986411018958,0.666463947959003,0.296525436786854,0.0717829457364341,0.0243410852713178,FALSE,0,0
"C-PCA",0.5,0.997971935398464,0.000974564530727529,0.997437428688668,0.000706876822178884,0.818914728682171,0.0382945736434109,FALSE,0,0
"V-PCA",0.5,0.997921076774356,0.00121420347143975,0.997429202579917,0.000776603293702855,0.79937984496124,0.0637209302325581,FALSE,0,0
"MR-PCA",0.5,0.917931051468189,-0.0170685483126143,0.908665122978527,-0.0260579168073574,0.178604651162791,-0.0344186046511628,FALSE,0,0
"SPCA",0.5,0.997971935398464,0.000974564530727529,0.997437428688668,0.000706876822178884,0.818914728682171,0.0382945736434109,FALSE,0,0
