"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"C-PCA","Hausdorff",21,0.871604938271605,0,0.924592012829125,0.00749773754038134,0.961199294532628,0.0317460317460317
"C-PCA","Hausdorff",22,0.809259259259259,0.0185185185185185,0.924127310696813,0.00756737765755741,0.956228956228956,0.0286195286195286
"C-PCA","Hausdorff",23,0.780864197530864,-0.0308641975308641,0.924183925862408,0.00769429602263788,0.969404186795491,0.037037037037037
"C-PCA","Hausdorff",24,0.660493827160494,-0.0617283950617283,0.924408332053256,0.00701356284583278,0.969135802469136,0.0308641975308642
"C-PCA","Hausdorff",25,0.555555555555556,0,0.924534600200467,0.00705280212421538,0.982222222222222,0.0222222222222222
"V-PCA","Hausdorff",1,0.954814814814815,0.0192592592592593,0.956552706552707,0.0185185185185185,0.592592592592593,0
"V-PCA","Hausdorff",2,0.966115051221434,0.0110323089046493,0.955653021442495,0.01364522417154,0.796296296296296,0.0185185185185185
"V-PCA","Hausdorff",3,0.968013468013468,0.0134680134680134,0.955337690631808,0.0144335511982571,0.765432098765432,0.0123456790123457
"V-PCA","Hausdorff",4,0.972448057813911,0.0045167118337851,0.95453151827324,0.0117120431689968,0.731481481481482,0.0555555555555556
"V-PCA","Hausdorff",5,0.981481481481481,0.000389863547758273,0.952965480932106,0.0113423064597354,0.822222222222222,0.0814814814814815
"V-PCA","Hausdorff",6,0.984656084656085,-0.00035273368606703,0.950491864066658,0.0101535575622737,0.839506172839506,0.0679012345679012
"V-PCA","Hausdorff",7,0.988921957671958,-0.000992063492063489,0.947712197001162,0.00791092571524881,0.888888888888889,0.0476190476190476
"V-PCA","Hausdorff",8,0.992177522349936,0.00223499361430401,0.944934515372674,0.00910005957149607,0.949074074074074,0.0416666666666667
"V-PCA","Hausdorff",9,0.988129154795822,0.00158277936055706,0.943614633485753,0.00873318408261228,0.930041152263374,0.0411522633744856
"V-PCA","Hausdorff",10,0.984702093397746,0.000966183574879209,0.942132177484265,0.00838161221605049,0.918518518518519,0.0333333333333333
"V-PCA","Hausdorff",11,0.982659932659933,0.00370370370370376,0.940241610414868,0.00857764644882567,0.919191919191919,0.037037037037037
"V-PCA","Hausdorff",12,0.980573710965868,0.00254175744371821,0.938202671141429,0.00882664196777366,0.929012345679012,0.0432098765432099
"V-PCA","Hausdorff",13,0.971916971916972,0,0.935574236021133,0.00821762069424981,0.925925925925926,0.0427350427350427
"V-PCA","Hausdorff",14,0.964150047483381,-0.00332383665716995,0.933287254277724,0.00775602804879105,0.936507936507937,0.0396825396825397
"V-PCA","Hausdorff",15,0.950617283950617,-0.0101010101010102,0.931200331122111,0.00781782474192531,0.928395061728395,0.0469135802469136
"V-PCA","Hausdorff",16,0.93973063973064,-0.000673400673400604,0.929701466542791,0.00804248032847218,0.918981481481482,0.0393518518518519
"V-PCA","Hausdorff",17,0.937448559670782,0.0164609053497942,0.928570412580173,0.00851035751407538,0.932461873638344,0.0305010893246188
"V-PCA","Hausdorff",18,0.935185185185185,0.0185185185185185,0.927190504031034,0.00809904811127476,0.948559670781893,0.0329218106995885
"V-PCA","Hausdorff",19,0.923941798941799,0.00132275132275139,0.926532969112046,0.00788269171187733,0.949317738791423,0.0409356725146199
"V-PCA","Hausdorff",20,0.91358024691358,0.00705467372134039,0.92594648508017,0.00795200449192271,0.962962962962963,0.0425925925925926
"V-PCA","Hausdorff",21,0.871604938271605,0.00493827160493832,0.925331828165694,0.00787170244140942,0.961199294532628,0.0388007054673721
"V-PCA","Hausdorff",22,0.82037037037037,0.0185185185185185,0.924997791228106,0.00781115274005699,0.957912457912458,0.0353535353535354
"V-PCA","Hausdorff",23,0.787037037037037,-0.00617283950617276,0.925068164680202,0.00807832625121195,0.967793880837359,0.0434782608695652
"V-PCA","Hausdorff",24,0.685185185185185,-0.037037037037037,0.92519149365712,0.00743806071339072,0.970679012345679,0.0401234567901235
"V-PCA","Hausdorff",25,0.62962962962963,0,0.925350600611884,0.00742911268357511,0.985185185185185,0.034074074074074
"MR-PCA","Hausdorff",1,0.958518518518519,0.00888888888888895,0.96011396011396,0.00854700854700854,0.592592592592593,0
