"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"Int-UMAP","Int-Euclidean",6,0.674212048947196,0.285115181234333,0.666942116197966,0.29434880578764,0.0341085271317829,0.00697674418604651
"Int-UMAP","Int-Euclidean",7,0.687714802743047,0.256343907968881,0.672169931027138,0.282720685833615,0.0473975636766334,0.0170542635658915
"Int-UMAP","Int-Euclidean",8,0.701243833685694,0.233127125654932,0.677473713590977,0.272955709075307,0.0575581395348837,0.0205426356589147
"Int-UMAP","Int-Euclidean",9,0.691970007821554,0.254794830949329,0.674842343807325,0.278865955250262,0.06442721791559,0.0241171403962102
"Int-UMAP","Int-Euclidean",10,0.688231708443394,0.265963758612409,0.673857170880385,0.281687480777388,0.0717829457364341,0.0243410852713178
"Int-UMAP","Int-Euclidean",11,0.689793543492995,0.265202686021824,0.67449749866104,0.280848206231233,0.0766737138830162,0.025369978858351
"Int-UMAP","Int-Euclidean",12,0.693766484983842,0.259742509450188,0.675870119366603,0.278582743349105,0.0804909560723514,0.0249354005167959
"Int-UMAP","Int-Euclidean",13,0.695869099582588,0.257101013714967,0.676651378459224,0.27721318541569,0.0863446630888491,0.0265951103160405
"Int-UMAP","Int-Euclidean",14,0.704041415898711,0.242524206489817,0.679223305511377,0.27232250263548,0.101107419712071,0.0368770764119601
"Int-UMAP","Int-Euclidean",15,0.712106067781683,0.227835688825743,0.6817714196398,0.267385247436742,0.117726098191214,0.0486821705426357
"Int-UMAP","Int-Euclidean",16,0.720401308022413,0.213198908107365,0.684421892919403,0.262394797470536,0.128488372093023,0.0549418604651163
"Int-UMAP","Int-Euclidean",17,0.727520521677507,0.200247814495675,0.686747955884523,0.25785816882093,0.139078887368901,0.058641130870953
"Int-UMAP","Int-Euclidean",18,0.733929705998249,0.188527829213264,0.688876985691727,0.253671196516549,0.148148148148148,0.0621016365202412
"Int-UMAP","Int-Euclidean",19,0.739255114530512,0.179989879561483,0.690704195205742,0.250357908222482,0.155120359037128,0.0629946960424317
"Int-UMAP","Int-Euclidean",20,0.743575983499536,0.172781804075917,0.692246324129073,0.247435382653718,0.161472868217054,0.0649612403100775
"Int-UMAP","Int-Euclidean",21,0.747507522806282,0.166415856275107,0.693658409758525,0.244785861336844,0.168696936138797,0.0691029900332226
"Int-UMAP","Int-Euclidean",22,0.752147729937762,0.15837232927499,0.695238881286058,0.241725882301098,0.175616631430585,0.0704721634954193
"Int-UMAP","Int-Euclidean",23,0.756418969318238,0.152064181405294,0.696710916422299,0.239140258061959,0.181732389619144,0.0721941354903943
"Int-UMAP","Int-Euclidean",24,0.760580885771977,0.145651186146304,0.698136325153378,0.236561815952928,0.188759689922481,0.0728682170542636
"Int-UMAP","Int-Euclidean",25,0.764447185931574,0.139918725974739,0.699469455391987,0.234184890953709,0.195596899224806,0.072
"C-PCA","Hausdorff",1,0.997077651994647,0.00182285073601218,0.997082189802109,0.00182002022244692,0.541085271317829,0
"C-PCA","Hausdorff",2,0.99701341937199,0.00210383850834106,0.996704422219544,0.00202675021086878,0.629457364341085,0.0201550387596899
"C-PCA","Hausdorff",3,0.996584302325581,0.00276162790697676,0.996225672401127,0.00242031512121312,0.662532299741602,0.0299741602067183
"C-PCA","Hausdorff",4,0.99646215390966,0.00266370429725682,0.995934554212865,0.00243422634654552,0.681007751937984,0.0453488372093023
"C-PCA","Hausdorff",5,0.996137660788824,0.00305258418215226,0.995588445130668,0.00264067859926461,0.686821705426357,0.0514728682170543
"C-PCA","Hausdorff",6,0.99613236642494,0.00291129692992353,0.9953796830821,0.00262852899405111,0.704651162790698,0.0594315245478036
"C-PCA","Hausdorff",7,0.996086825897551,0.00289501172048301,0.995185123031655,0.00266259947000299,0.705426356589147,0.0648947951273532
"C-PCA","Hausdorff",8,0.996085118117474,0.0028127585255997,0.995007505977076,0.00267107138689669,0.717054263565892,0.0746124031007752
"C-PCA","Hausdorff",9,0.996094956121492,0.00279937918975259,0.994839598279635,0.00268364307245149,0.732644272179156,0.0768303186907838
"C-PCA","Hausdorff",10,0.996068492897649,0.00278207756863758,0.994674185214716,0.0027053757902486,0.742635658914729,0.0818604651162791
"C-PCA","Hausdorff",11,0.996028422276386,0.00286871080827533,0.994513575353359,0.00274747554033624,0.753347427766032,0.0834390415785765
"C-PCA","Hausdorff",12,0.995988542227337,0.00289331444326901,0.994363618491905,0.00278111717386104,0.759043927648579,0.0896640826873385
"C-PCA","Hausdorff",13,0.995940274299344,0.00285366726296954,0.994218772982336,0.00279151420923747,0.765533691115087,0.0952892069171139
"C-PCA","Hausdorff",14,0.995834521123121,0.0029304439181167,0.994058041809916,0.00282658142722951,0.771982281284607,0.0972314507198228
"C-PCA","Hausdorff",15,0.995748315428268,0.00300472760205062,0.99391078944139,0.0028613483098411,0.776330749354005,0.10046511627907
"C-PCA","Hausdorff",16,0.995708246662794,0.00313497492020065,0.993778698649965,0.0029083950472197,0.783527131782946,0.10077519379845
"C-PCA","Hausdorff",17,0.995623834686221,0.0032812584025983,0.993637803308432,0.00297283370115127,0.786776105791154,0.103328773369813
"C-PCA","Hausdorff",18,0.995571456966806,0.00333622766915298,0.99351028936129,0.00300537180347391,0.791042204995693,0.105167958656331
