"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"Int-UMAP","Hausdorff",0.001,0.004,0.001,0.064,0.001,0.001,4,"minP"
"Int-UMAP","Ichino-Yaguchi",0.001,0.001,0.001,0.094,0.001,0.001,4,"minP"
"Int-UMAP","Wasserstein",0.001,0.004,0.001,0.091,0.001,0.001,4,"minP"
"Int-UMAP","Centers-Euclidean",0.001,0.004,0.001,0.094,0.001,0.001,4,"minP"
"C-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"V-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"raw"
"IMDS","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.078,5,"raw"
"IMDS","Hausdorff",0.001,0.07,0.001,0.002,0.001,0.046,5,"raw"
"IMDS","Ichino-Yaguchi",0.001,0.146,0.001,0.039,0.001,1,5,"raw"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.372,5,"raw"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.547,5,"raw"
"Int-UMAP","Int-Euclidean",0.001,0.189,0.001,0.442,0.001,0.001,5,"raw"
"Int-UMAP","Hausdorff",0.001,0.454,0.001,0.79,0.001,0.001,5,"raw"
"Int-UMAP","Ichino-Yaguchi",0.001,0.162,0.001,0.564,0.001,0.001,5,"raw"
"Int-UMAP","Wasserstein",0.001,0.307,0.001,0.695,0.001,0.001,5,"raw"
"Int-UMAP","Centers-Euclidean",0.001,0.187,0.001,0.622,0.001,0.001,5,"raw"
"C-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"V-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,5,"minP"
"IMDS","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.386,5,"minP"
